City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
446,446,Ngaoundere,CM,2021-11-21 21:16:54,7.3167,13.5833,70.68,35,76,2.71
448,448,Matara,LK,2021-11-21 21:16:54,5.9485,80.5353,74.37,88,59,8.88
450,450,Manokwari,ID,2021-11-21 21:16:55,-0.8667,134.0833,78.91,72,98,3.8
452,452,Careiro Da Varzea,BR,2021-11-21 21:16:57,-3.2003,-59.8119,84.81,77,65,1.48
453,453,Umm Lajj,SA,2021-11-21 21:16:58,25.0213,37.2685,71.85,51,0,10.04
454,454,Vanimo,PG,2021-11-21 21:16:58,-2.6741,141.3028,77.56,89,99,3.8
457,457,Isabela,PH,2021-11-21 21:16:59,6.7085,121.9711,75.25,86,87,1.79
459,459,Kumhari,IN,2021-11-21 21:17:59,21.2667,81.5167,75.09,68,58,6.49
461,461,Kapit,MY,2021-11-21 21:18:00,2.0167,112.9333,73.94,98,100,1.03
462,462,Oranjestad,AW,2021-11-21 21:14:45,12.524,-70.027,84.15,70,40,12.66
