City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
48,Qaanaaq,GL,2021-11-20 21:49:59,77.484,-69.3632,-7.64,71,0,6.93
49,Tuatapere,NZ,2021-11-20 21:41:37,-46.1333,167.6833,55.9,80,100,2.91
50,Bambous Virieux,MU,2021-11-20 21:50:00,-20.3428,57.7575,76.21,73,40,8.05
51,Coihaique,CL,2021-11-20 21:50:01,-45.5752,-72.0662,58.95,77,90,8.05
52,Tasiilaq,GL,2021-11-20 21:50:01,65.6145,-37.6368,26.51,96,100,17.58
53,Ostrovnoy,RU,2021-11-20 21:41:36,68.0531,39.5131,28.78,86,100,4.34
54,Nanortalik,GL,2021-11-20 21:50:01,60.1432,-45.2371,36.7,98,100,8.99
55,Yar-Sale,RU,2021-11-20 21:50:02,66.8333,70.8333,7.5,94,100,16.78
56,Clyde River,CA,2021-11-20 21:46:47,70.4692,-68.5914,3.43,85,20,13.8
57,Anchorage,US,2021-11-20 21:45:45,61.2181,-149.9003,13.68,75,1,4.0
58,Luderitz,NA,2021-11-20 21:50:03,-26.6481,15.1594,59.13,91,1,15.86
59,Rikitea,PF,2021-11-20 21:49:55,-23.1203,-134.9692,73.54,61,50,5.17
60,Rio Grande,BR,2021-11-20 21:50:03,-32.035,-52.0986,78.91,69,1,9.13
61,Vila Franca Do Campo,PT,2021-11-20 21:50:03,37.7167,-25.4333,67.19,73,94,18.32
62,Vanimo,PG,2021-11-20 21:44:01,-2.6741,141.3028,79.81,85,99,1.45
63,Jamestown,US,2021-11-20 21:50:04,42.097,-79.2353,44.19,50,1,5.01
64,Plettenberg Bay,ZA,2021-11-20 21:42:43,-34.0527,23.3716,60.67,81,79,12.21
65,Shingu,JP,2021-11-20 21:50:05,33.7333,135.9833,57.51,74,35,4.9
66,Salalah,OM,2021-11-20 21:50:05,17.0151,54.0924,74.57,73,41,1.68
67,Atuona,PF,2021-11-20 21:50:05,-9.8,-139.0333,78.89,71,3,12.93
68,Bluff,NZ,2021-11-20 21:50:06,-46.6,168.3333,55.53,82,100,5.12
69,Sao Joao Da Barra,BR,2021-11-20 21:40:13,-21.6403,-41.0511,73.49,86,100,15.68
70,Mokhsogollokh,RU,2021-11-20 21:50:06,61.4681,128.9203,-26.39,99,32,1.48
